Taxa	D3.1	P9.V1	P10.V5	P7.V1	P8.V2	P10.V3	P7.V5	P10.V4	P8.V3	P10.V2	P9.V5	D2.1	P8.V4	P8.V5	P9.V2	P10.V1	D1.2	P9.V4	P8.V1	P7.V4	P9.V3	P7.V3	D1.1	P7.V2
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces odontolyticus|strain_Actinomyces odontolyticus ATCC 17982	0.0	0.0002018978396931153	0.00020126798832645668	0.0002026137169486374	0.0011036420186615833	0.000201328769881216	0.0	0.0	0.0006050826946349334	0.00010062386798148522	0.005725190839694656	0.0008085708510208208	0.0008040201005025126	0.00020086371397007131	0.0001015950421619425	0.00020090406830738323	0.0	0.0	0.0003009932778167954	0.0	0.0007028818154433177	0.0002020406101626427	0.0	0.00010112245929821015
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Lactococcus|s_Lactococcus lactis|strain_Lactococcus lactis subsp. cremoris	0.0	0.0	0.0	0.0	0.0	0.000201328769881216	0.0	0.0	0.00010084711577248892	0.0	0.0	0.0	0.00010050251256281407	0.0	0.0	0.0	0.0003015075376884422	0.0	0.00020066218521119696	0.0	0.0	0.0	0.0003015984719010757	0.0
d_Bacteria|p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_Treponema succinifaciens|strain_Treponema succinifaciens DSM 2489	0.0	0.0	0.0	0.0	0.0001003310926055985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|strain_unclassified Clostridiales (miscellaneous)|s_Clostridiales bacterium Marseille-P2846|s_Clostridiales bacterium Marseille-P2846|strain_Clostridiales bacterium Marseille-P2846 unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.00020147073637554144	0.0	0.00010084711577248892	0.0	0.0	0.0	0.0	0.0	0.0001015950421619425	0.0	0.0	0.00020106564793405046	0.0	0.0	0.00020082337584094792	0.0	0.00010053282396702523	0.00010112245929821015
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. Marseille-P3109|strain_Actinomyces sp. Marseille-P3109 unknown	0.0	0.00010094891984655764	0.0	0.0	0.0001003310926055985	0.0	0.0	0.0	0.0	0.0	0.0002008838891120932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010033109260559848	0.0	0.00010041168792047396	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides clarus|strain_Bacteroides clarus YIT 12056	0.0	0.0003028467595396729	0.00724564757975244	0.0	0.028895354670412363	0.004328568552446144	0.00010073536818777072	0.019868885526979324	0.002218636546994756	0.005333065003018717	0.0001004419445560466	0.0007074994946432182	0.0026130653266331657	0.014361755548860098	0.00040638016864777	0.0	0.007336683417085427	0.0003015984719010757	0.00010033109260559848	0.00020247013565499088	0.00010041168792047396	0.00010102030508132135	0.008545290037197145	0.00010112245929821015
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_Eubacterium coprostanoligenes|strain_Eubacterium coprostanoligenes unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010053282396702523	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Sellimonas|s_Sellimonas intestinalis|strain_Sellimonas intestinalis unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010045203415369161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides sp. 2_1_7|strain_Parabacteroides sp. 2_1_7 unknown	0.002408912978018669	0.006965475469412476	0.0038240917782026767	0.0063823320838820785	0.002909601685562356	0.003724582242802496	0.0017125012591921022	0.007866868381240545	0.004033884630899556	0.004528074059166835	0.004319003615910004	0.0013139276329088337	0.004321608040201005	0.0037159787084463194	0.005790917403230722	0.0	0.0032160804020100503	0.005629838142153414	0.0008026487408447879	0.0012148208139299453	0.005723466211467015	0.0010102030508132135	0.0029154518950437317	0.0016179593487713625
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|s_Clostridiaceae bacterium MS3|s_Clostridiaceae bacterium MS3|strain_Clostridiaceae bacterium MS3 unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001004419445560466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Anaerotruncus|s_Anaerotruncus colihominis|strain_Anaerotruncus colihominis DSM 17241	0.00020074274816822243	0.0002018978396931153	0.0008050719533058267	0.0002026137169486374	0.0007023176482391895	0.0007046506945842561	0.0006044122091266242	0.0006051437216338881	0.00040338846308995567	0.0006037432078889113	0.0001004419445560466	0.00030321406913280777	0.0034170854271356787	0.0026112282816109274	0.000203190084323885	0.0007031642390758414	0.0004020100502512563	0.0005026641198351262	0.0003009932778167954	0.0005061753391374772	0.0006024701275228437	0.0002020406101626427	0.0006031969438021514	0.0006067347557892609
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_Blautia sp. OM05-6|strain_Blautia sp. OM05-6 unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010123506782749544	0.0	0.0	0.0	0.0
d_Bacteria|p_Candidatus Melainabacteria|o_Candidatus Gastranaerophilales|s_Candidatus Gastranaerophilales bacterium HUM_13|s_Candidatus Gastranaerophilales bacterium HUM_13|s_Candidatus Gastranaerophilales bacterium HUM_13|s_Candidatus Gastranaerophilales bacterium HUM_13|strain_Candidatus Gastranaerophilales bacterium HUM_13 unknown	0.0	0.0	0.0	0.0	0.0	0.000100664384940608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010045203415369161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides heparinolyticus|strain_Bacteroides heparinolyticus unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001010713563776026	0.0	0.00010043185698503566	0.0	0.0	0.0	0.0	0.0	0.00010123506782749544	0.0	0.0	0.0	0.00010112245929821015
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Hungateiclostridiaceae|s_Hungateiclostridiaceae bacterium KB18|s_Hungateiclostridiaceae bacterium KB18|strain_Hungateiclostridiaceae bacterium KB18 unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010045203415369161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Neobitarella|s_Neobitarella massiliensis|strain_Neobitarella massiliensis unknown	0.0	0.0	0.00010063399416322834	0.0	0.0001003310926055985	0.000100664384940608	0.0	0.0	0.00010084711577248892	0.00010062386798148522	0.0002008838891120932	0.0	0.0	0.0	0.0	0.00020090406830738323	0.00010050251256281407	0.0	0.0	0.0	0.00010041168792047396	0.0	0.00010053282396702523	0.00010112245929821015
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_Collinsella intestinalis|strain_Collinsella intestinalis DSM 13280	0.0	0.0002018978396931153	0.0	0.0	0.0	0.000100664384940608	0.0003022061045633121	0.0	0.00010084711577248892	0.0	0.0	0.0006064281382656155	0.00010050251256281407	0.00010043185698503566	0.0	0.0	0.0	0.0	0.0	0.0028345818991698728	0.00010041168792047396	0.001212243660975856	0.0	0.0005056122964910508
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Carnobacterium|s_Carnobacterium inhibens|strain_Carnobacterium inhibens unknown	0.00010037137408411121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides zoogleoformans|strain_Bacteroides zoogleoformans unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.00010073536818777072	0.00010085728693898135	0.0	0.0	0.0	0.0001010713563776026	0.0	0.00010043185698503566	0.0	0.0	0.00010050251256281407	0.0	0.0	0.00010123506782749544	0.0	0.0	0.00010053282396702523	0.00010112245929821015
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_[Eubacterium] hallii|strain_[Eubacterium] hallii unknown	0.0062230251932148956	0.00847970926711084	0.0061386736439569285	0.0022287508864350116	0.00200662185211197	0.006442520636198912	0.0006044122091266242	0.007967725668179527	0.005748285599031867	0.0074461662306299055	0.0011048613901165126	0.006165352739033758	0.0003015075376884422	0.0010043185698503567	0.007721223204307629	0.007835258663987946	0.00693467336683417	0.0012063938876043028	0.0009029798334503862	0.008402510629682121	0.005522642835626068	0.0033336700676836048	0.009450085452900372	0.007988674284558602
d_Bacteria|strain_unclassified Bacteria (miscellaneous)|s_bacterium LF-3|s_bacterium LF-3|s_bacterium LF-3|s_bacterium LF-3|s_bacterium LF-3|strain_bacterium LF-3 unknown	0.008631938171233564	0.00010094891984655764	0.004025359766529134	0.0	0.0001003310926055985	0.002415945238574592	0.0	0.0011094301563287948	0.0008067769261799113	0.00462869792714832	0.0019083969465648854	0.0002021427127552052	0.0	0.0	0.000203190084323885	0.00020090406830738323	0.002512562814070352	0.0003015984719010757	0.00010033109260559848	0.00020247013565499088	0.0005020584396023698	0.0002020406101626427	0.0015079923595053785	0.0002022449185964203
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|s_Eggerthellaceae bacterium AT8|s_Eggerthellaceae bacterium AT8|strain_Eggerthellaceae bacterium AT8 unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010084711577248892	0.0	0.0	0.0001010713563776026	0.00010050251256281407	0.00010043185698503566	0.0	0.0	0.0	0.0	0.0003009932778167954	0.0	0.0	0.0	0.0	0.0005056122964910508
